channel_id,group,type,loc1,loc2,sigma
82,scada,Pflow,9,13,2.220418e-02
83,scada,Qflow,9,13,2.322525e-02
84,scada,Pflow,7,14,1.735267e-02
85,scada,Qflow,7,14,1.605540e-02
86,scada,Pflow,14,15,2.113880e-02
87,scada,Qflow,14,15,1.743656e-02
88,scada,Pflow,12,16,2.326946e-02
89,scada,Qflow,12,16,1.965529e-02
90,scada,Pflow,14,17,2.191030e-02
91,scada,Qflow,14,17,1.854803e-02
92,scada,Pflow,7,18,1.603466e-02
93,scada,Qflow,7,18,1.798879e-02
94,scada,Pflow,6,19,1.663209e-02
95,scada,Qflow,6,19,1.732824e-02
96,scada,Pflow,18,20,2.044417e-02
97,scada,Qflow,18,20,1.854911e-02
98,scada,Pflow,17,18,2.244647e-02
99,scada,Qflow,17,18,2.148159e-02
100,scada,Pflow,4,16,2.270038e-02
101,scada,Qflow,4,16,2.290332e-02
102,scada,Pflow,2,3,2.026586e-02
103,scada,Qflow,2,3,1.756293e-02
104,scada,Pflow,1,6,2.495365e-02
105,scada,Qflow,1,6,1.606623e-02
106,scada,Pflow,2,8,1.914941e-02
107,scada,Qflow,2,8,1.654620e-02
108,scada,Pflow,14,20,2.007080e-02
109,scada,Qflow,14,20,2.306877e-02
110,pmu,Vmag,2,,1.212144e-04
111,pmu,Vang,2,,1.151213e-04
112,pmu,Vmag,5,,9.975552e-05
113,pmu,Vang,5,,6.151226e-05
114,pmu,Vmag,8,,1.586338e-04
115,pmu,Vang,8,,1.627031e-04
116,pmu,Vmag,11,,1.422559e-04
117,pmu,Vang,11,,1.853269e-04
118,pmu,Vmag,14,,6.997041e-05
119,pmu,Vang,14,,8.009889e-05
120,pmu,Vmag,17,,1.772349e-04
121,pmu,Vang,17,,1.491675e-04
122,pmu,Vmag,20,,1.274655e-04
123,pmu,Vang,20,,1.658871e-04
124,pmu,Imag,2,1,4.105692e-04
125,pmu,Iang,2,1,3.219456e-04
126,pmu,Imag,2,4,3.758126e-04
127,pmu,Iang,2,4,1.996549e-04
128,pmu,Imag,5,1,3.813459e-04
129,pmu,Iang,5,1,2.597842e-04
130,pmu,Imag,5,7,3.471636e-04
131,pmu,Iang,5,7,3.403144e-04
132,pmu,Imag,8,1,3.442973e-04
133,pmu,Iang,8,1,3.812373e-04
134,pmu,Imag,5,10,1.307556e-04
135,pmu,Iang,5,10,1.847432e-04
136,pmu,Imag,11,6,2.193805e-04
137,pmu,Iang,11,6,4.864282e-04
138,pmu,Imag,14,7,3.630463e-04
139,pmu,Iang,14,7,1.696324e-04
140,pmu,Imag,14,15,3.727034e-04
141,pmu,Iang,14,15,4.364252e-04
142,pmu,Imag,14,17,4.600229e-04
143,pmu,Iang,14,17,1.831880e-04
144,pmu,Imag,20,18,4.790218e-04
145,pmu,Iang,20,18,1.927045e-04
146,pmu,Imag,17,18,1.615099e-04
147,pmu,Iang,17,18,3.523065e-04
148,pmu,Imag,2,3,1.146278e-04
149,pmu,Iang,2,3,4.183544e-04
150,pmu,Imag,2,8,1.571216e-04
151,pmu,Iang,2,8,1.345964e-04
152,pmu,Imag,14,20,4.275914e-04
153,pmu,Iang,14,20,4.853079e-04
